id,name,brand,brandLine,category,subcategory,price,originalPrice,discountPercentage,size,availability,description,imageUrl,rating,reviewCount,source,url,priceRange,lowestPrice,averageRating,slug,metaTitle,metaDescription
"DGL_5011801140_1755356303077_5avcbe2bf","Body Wash","Australian Bodycare","B12","Nieuw & Trending","Douchegel","€ 15,99","€ 15,99","","200 ml","AVAILABLE","Milde douchegel met vitamine B12. Reinigt en hydrateert de huid en helpt de elasticiteit te behouden.","https://media.douglas.nl/medias/yvmJWA1228473-0-global.jpg?context=bWFzdGVyfGltYWdlc3wxNTE4MzJ8aW1hZ2UvanBlZ3xhRGs1TDJneU5TODJOVFExTmpNM09UTTJNek0xT0M5NWRtMUtWMEV4TWpJNE5EY3pYekJmWjJ4dlltRnNMbXB3Wnd8NDQyNDZlYzJhOTg2NGVmOGQ2OTQwNThjZDg1ZjBhZWI1NzMwYThlOWFlNmQwNjQwODM0MjJiNzMxYWZlOTJjMA&grid=true","","","douglas.nl","https://www.douglas.nl/nl/p/5011801140","€ 15,99","","","australian-bodycare-body-wash","Body Wash - Australian Bodycare | GlowLow","Body Wash van Australian Bodycare. € 15,99. Vergelijk prijzen van meerdere webshops en vind de beste deal."
"DGL_5011850000_1755356303085_gbiouvdtw","Arnica Gel","Weleda","","Nieuw & Trending","Verkoelende gel","€ 11,49","€ 11,49","","25 g","AVAILABLE_IN_FUTURE","Weleda Arnica Gel verkoelt en ondersteunt het herstel van gevoelige en stijve spieren. Te gebruiken als eerste hulp na sporten of andere fysieke inspanning. Door de samenstelling is Arnica Gel direct verkoelend. Daarnaast bevordert Arnica de doorbloeding, waardoor zuurstof en voedingsstoffen sneller naar de betreffende plek worden gevoerd en de afvalstoffen versneld worden afgevoerd. Ondersteunt het herstel van gevoelige spieren Bevordert de doorbloeding Werkt verkoelend Helpt bij een sneller...","https://media.douglas.nl/medias/8W4sNE1230118-0-global.jpg?context=bWFzdGVyfGltYWdlc3wyODY5M3xpbWFnZS9qcGVnfGFHVXpMMmhrTkM4Mk5qSXpOVEkxTURFeE5EVTVNQzg0VnpSelRrVXhNak13TVRFNFh6QmZaMnh2WW1Gc0xtcHdad3wyZmExNDZhYzIwYjEyMjA1NzJlNTkyOGJlZTk4OTlhNGE2NGZhZTA0NmM3N2QxNWFmNTg5ZTUxMjAxYTE2M2Vj&grid=true","","","douglas.nl","https://www.douglas.nl/nl/p/5011850000","€ 11,49","","","weleda-arnica-gel","Arnica Gel - Weleda | GlowLow","Arnica Gel van Weleda. € 11,49. Vergelijk prijzen van meerdere webshops en vind de beste deal."
"DGL_5011827006_1755356303085_gd327tkcp","Bal D'Orient","Atelier Rebul","","Nieuw & Trending","Eau de parfum","€ 25,00","€ 25,00","","12 ml","AVAILABLE","Stap in een betoverende wereld van oosterse mystiek met het Bal D'Orient parfum. De geur begint met een kruidige combinatie van kruidnagel, kaneel, anijs en roze peper in de topnoten. Dit kruidige begin wordt gevolgd door houtachtige en bloemige noten voor een opmerkelijke ervaring. De noten van oud, cederhout, sandelhout en gaiac-hout worden gecombineerd met een vleugje roos; waardoor de hartnoten ongewoon maar ""precies goed"" zijn. De warme, zoete en krachtige onderste noten sluiten deze par...","https://media.douglas.nl/medias/rLTRvl1238756-0-global.jpg?context=bWFzdGVyfGltYWdlc3wxMTk1MTN8aW1hZ2UvanBlZ3xhREpoTDJobFpTODJOVFV6TWpJNU1UQXlNamczT0M5eVRGUlNkbXd4TWpNNE56VTJYekJmWjJ4dlltRnNMbXB3Wnd8ZTFiYTBiZTM2MWM5YWQ1ZDNmZGYwMTU5MmQ3ZTFjM2E2N2ZlMzI4MDg1NzJlZjgwY2FiYzQyYWFlYzc4MDg4OA&grid=true","5","1","douglas.nl","https://www.douglas.nl/nl/p/5011827006","€ 25,00","","5","atelier-rebul-bal-d-orient","Bal D'Orient - Atelier Rebul | GlowLow","Bal D'Orient van Atelier Rebul. € 25,00. Vergelijk prijzen van meerdere webshops en vind de beste deal."
"DGL_5011830065_1755356303085_jjdsxak09","Hydrate & Shape All-Purpose Styling Cream","EAUde1974","EAU de Santorini","Nieuw & Trending","Haarstyling","€ 31,50","€ 31,50","","100 ml","AVAILABLE","Een veelzijdig styling product. Of je het nu föhnt, krullen definieert, een gladde look maakt of vocht vasthoudt, deze lichtgewicht formule levert uitzonderlijke resultaten. De formule is veganistisch, voedt het haar en beschermt tegen beschadiging door kammen of warmtestyling. Geschikt voor alle haartypes, biedt een lichtgewicht fixatie, vermindert statische elektriciteit en geeft body en glans. Doordrenkt met de EAU de Santorini signatuurgeur.Een veelzijdige styling accessoire. Of je het nu...","https://media.douglas.nl/medias/oaKi641241742-0-global.jpg?context=bWFzdGVyfGltYWdlc3w0NjQzOXxpbWFnZS9qcGVnfGFETm1MMmhsTmk4Mk5UZzJOemt4T0RnMk9EVXhNQzl2WVV0cE5qUXhNalF4TnpReVh6QmZaMnh2WW1Gc0xtcHdad3xhZDBhYjg1MDgxZTc2NGQ3YzE2MTdlM2Q5YjRlMTRkZTcwZTJlNGU2N2IwODBiNjgxMTY2ZDc1NTQ1MzM4YWI1&grid=true","","","douglas.nl","https://www.douglas.nl/nl/p/5011830065","€ 31,50","","","eaude1974-hydrate-shape-all-purpose-styling-cream","Hydrate & Shape All-Purpose Styling Cream - EAUde1974 | GlowLow","Hydrate & Shape All-Purpose Styling Cream van EAUde1974. € 31,50. Vergelijk prijzen van meerdere webshops en vind de beste deal."
"DGL_5011500076_1755356303085_xtzjiew43","The Queen of Sheba","Attar Collection","","Nieuw & Trending","Eau de parfum","€ 165,00","€ 165,00","","100 ml","AVAILABLE","De Koningin van Sheba is een ""zwart meesterwerk"" dat in 2015 werd gelanceerd en een klassieke oosterse geur biedt in een luxueuze verpakking, met een elegant gevormde flacon en dop, geïnspireerd op antieke parfumflesjes die gevonden zijn op archeologische sites in het Heilige Land. De Koningin van Sheba verleidt je met haar warme glamour en elegantie. Ze is krachtig en fascinerend. De geur opent met sambac-jasmijn, versterkt door het fruitige, abrikoosachtige effect van osmanthus. Het florale...","https://media.douglas.nl/medias/vcmwZC1188350-0-global.png?context=bWFzdGVyfGltYWdlc3w1MTg5MDV8aW1hZ2UvcG5nfGFEZzNMMmczTkM4Mk16YzJOalUxTURReE16TTBNaTkyWTIxM1drTXhNVGc0TXpVd1h6QmZaMnh2WW1Gc0xuQnVad3wyMzZjZDQzYjI5MTFiZjdkMzJlMjQyZmIwOWYyMzMzNjFiYTMwOWVjNDlhOGRmMTc1OWIxODM3NmMzNDRlNzNh&grid=true","","","douglas.nl","https://www.douglas.nl/nl/p/5011500076","€ 165,00","","","attar-collection-the-queen-of-sheba","The Queen of Sheba - Attar Collection | GlowLow","The Queen of Sheba van Attar Collection. € 165,00. Vergelijk prijzen van meerdere webshops en vind de beste deal."
"DGL_5011740121_1755356303085_ydi15tgn1","Illuminating Mask Red","Balmain Hair Couture","","Nieuw & Trending","Haarmasker","€ 65,00","€ 65,00","","150 ml","AVAILABLE","Transformeer futloos haar met het Illuminating Colour Mask. De unieke formule met pure pigmenten revitaliseert het haar en geeft het een rijke, levendige kleur met prachtige rode tinten. Het haarmasker is verrijkt met barnsteenzuur en kationische polymerisatie. Dit zorgt er voor dat de voedende masker diep doordringt in de haarstructuur om het van binnenuit te herstellen en te versterken. De intensieve hydratatie herstelt droge en beschadigde lokken, waardoor het haar zacht en glad aanvoelt. ...","https://media.douglas.nl/medias/14DE931226712-0-dgl-NL.jpg?context=bWFzdGVyfGltYWdlc3w4MzI4MnxpbWFnZS9qcGVnfGFHWXpMMmd3WVM4Mk5USTVNVE15TWpneE9EVTVNQzh4TkVSRk9UTXhNakkyTnpFeVh6QmZaR2RzTFU1TUxtcHdad3xhYjQzOGI4NzFjNmE2YzE0MTM1MDhkNDdmOWM0MTczYThkOGMyZTFmMTEwYjdhNmRkYjBlZWMxMWQ5MTMyYTI4&grid=true","","","douglas.nl","https://www.douglas.nl/nl/p/5011740121","€ 65,00","","","balmain-hair-couture-illuminating-mask-red","Illuminating Mask Red - Balmain Hair Couture | GlowLow","Illuminating Mask Red van Balmain Hair Couture. € 65,00. Vergelijk prijzen van meerdere webshops en vind de beste deal."
"DGL_5011744095_1755356303085_uue4d2z73","Hybrid Blush","KYLIE COSMETICS","","Nieuw & Trending","Blush","€ 23,99","€ 23,99","","2.5 g","AVAILABLE","Deze Kylie Cosmetics blush is een lichtgewicht formule die met de huid versmelt, als een crème blush met de egaliserende effecten van een poeder.  De hoog gepigmenteerde, opbouwbare textuur is gemakkelijk en gelijkmatig aan te brengen, voor een gezonde glow die de hele dag houdt, tot 12 uur lang.  Een poederblush die geen dikke laag op de huid creëert, er niet droog of vlekkerig uitziet of aanvoelt.  Kan perfect over make-up worden aangebracht. Ladybug is een rode tint. Slow Jam is een intens...","https://media.douglas.nl/medias/F9fpCu1227255-0-dgl-NL.jpg?context=bWFzdGVyfGltYWdlc3wxNzM2MzZ8aW1hZ2UvanBlZ3xhREpqTDJneU1TODJOVFUzT0RBM016VTROemMwTWk5R09XWndRM1V4TWpJM01qVTFYekJmWkdkc0xVNU1MbXB3Wnd8ZTVkZGYxNWZmZmZiMDcwMDY0NTBmMzAxOGIzYjEwMjNlNzFjZDJhNDQzMWE5OTEyMGQ4MjFiZDAyYmQ0ZTM0OA&grid=true","4.2","6","douglas.nl","https://www.douglas.nl/nl/p/5011744095?variant=1227255","€ 23,99","","4.2","kylie-cosmetics-hybrid-blush","Hybrid Blush - KYLIE COSMETICS | GlowLow","Hybrid Blush van KYLIE COSMETICS. € 23,99. Vergelijk prijzen van meerdere webshops en vind de beste deal."
"DGL_3001054593_1755356303085_38bj06aqj","Reisformaat Je Huid Maar Beter CC+ Crème SPF 50+","IT Cosmetics","Your Skin But Better","Nieuw & Trending","CC Cream","€ 22,99","€ 22,99","","12 ml","AVAILABLE","IT Cosmetics Reisformaat Your Skin But Better™ CC+™ Cream SPF 50De Travelsize Your Skin But Better™ CC+™ Cream SPF 50 van IT CosmeticsTeint is een sterk gepigmenteerde, multifunctionele crème die onvolkomenheden en donkere schaduwen op betrouwbare wijze camoufleert zonder fijne lijntjes te vormen. De formule combineert moisturizer, antiverouderingsserum, concealer, foundation en zonbescherming in één product en heeft een mineraal UV-B-filter met zonbeschermingsfactor 50, dat de huid beschermt...","https://media.douglas.nl/medias/645sV5082181-0-global.png?context=bWFzdGVyfGltYWdlc3w3MTU4Mzl8aW1hZ2UvcG5nfGFHSmhMMmhtTWk4Mk16VXdOREV6TkRVd05EUTNPQzgyTkRWelZqVXdPREl4T0RGZk1GOW5iRzlpWVd3dWNHNW58MjkwYmYyMmE2MjUzMDVhZjRjY2YyNjcyOWNjODZmMDdhZTUzNTAxNjYyMDhlNDM4OGU0Nzc4NDI5NjZlYmQzMw&grid=true","","","douglas.nl","https://www.douglas.nl/nl/p/3001054593?variant=082181","€ 22,99","","","it-cosmetics-reisformaat-je-huid-maar-beter-cc-cr-me-spf-50","Reisformaat Je Huid Maar Beter CC+ Crème SPF 50+ - IT Cosmetics | GlowLow","Reisformaat Je Huid Maar Beter CC+ Crème SPF 50+ van IT Cosmetics. € 22,99. Vergelijk prijzen van meerdere webshops en vind de beste deal."
"DGL_5011836000_1755356303085_e4m31e5aq","Un Jardin sur le Nil","HERMÈS","Collection Parfum Jardin","Nieuw & Trending","Haarparfum","€ 44,00","€ 55,00","20","30 ml","AVAILABLE","DE CREATIE Un Jardin sur le Nil vindt zich opnieuw uit als een geparfumeerde haarmist en biedt een multisensorische reis door de tuineilanden van Aswan in Egypte. De lichte en luchtige textuur parfumeert het haar subtiel en geeft het extra glans. GEURNOTEN De plant- en houtachtige geur van Un Jardin sur le Nil combineert groene mango met tere lotus en elegante Egyptische vijgenboom. DE FORMULE De formule, die geschikt is voor alle haartypes, bevat actieve ingrediënten om de haren zichtbaar gl...","https://media.douglas.nl/medias/kBtLA41235701-0-global.jpg?context=bWFzdGVyfGltYWdlc3w4OTE3MnxpbWFnZS9qcGVnfGFHSTFMMmc0WVM4Mk5EY3hORFF3TURNMk5qWXlNaTlyUW5STVFUUXhNak0xTnpBeFh6QmZaMnh2WW1Gc0xtcHdad3w5ZjIzODI3ZjViNTIwMjAyNjcyNzkzMWRmMTM4MTA1Y2U0NjYyNGViNjEwYmRhNDI1MmY4N2NhMWNjYTcxNzgy&grid=true","","","douglas.nl","https://www.douglas.nl/nl/p/5011836000","€ 44,00","","","herm-s-un-jardin-sur-le-nil","Un Jardin sur le Nil - HERMÈS | GlowLow","Un Jardin sur le Nil van HERMÈS. € 44,00. Vergelijk prijzen van meerdere webshops en vind de beste deal."
"DGL_5011765005_1755356303085_ibnlpssz7","M·A·CStack Elevated Mascara","MAC","","Nieuw & Trending","Mascara","€ 37,00","€ 37,00","","12 ml","AVAILABLE","Til je wimpers naar een hoger niveau. Deze mascara geeft \+165% onmiddellijke wimperlift* voor 36 uur lang gelifte, volumineuze en wimperachtige wimpers. M·A·CStack Elevated mascara heeft een dubbelzijdig, precisiepuntig gebogen borsteltje dat lift en volume geeft zonder te klonteren. Deze opbouwbare, 91% natuurlijk verkregen formule\*\* met arganolie bouwt je wimpers op en maakt je gegarandeerd tot een fan. \*Klinisch getest op 32 personen. \*\*Volgens ISO 16128 uit plantaardige bronnen, min...","https://media.douglas.nl/medias/lIazjY1217262-0-global.png?context=bWFzdGVyfGltYWdlc3wyNjExNTR8aW1hZ2UvcG5nfGFHRmpMMmcxTkM4Mk5EazRORGd6TWpjM01EQTNPQzlzU1dGNmFsa3hNakUzTWpZeVh6QmZaMnh2WW1Gc0xuQnVad3w3NTFiMDkwZjhmYjRmMmY0NTRiZmU3MGFjNzQzZjkwOGVjNzcxYTI0YTI0MmVhMDIyMjc5ZjA1Y2MyMjc2NzEx&grid=true","2","1","douglas.nl","https://www.douglas.nl/nl/p/5011765005","€ 37,00","","2","mac-m-a-cstack-elevated-mascara","M·A·CStack Elevated Mascara - MAC | GlowLow","M·A·CStack Elevated Mascara van MAC. € 37,00. Vergelijk prijzen van meerdere webshops en vind de beste deal."
